Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Fujifilm FinePix 2650,2002,1600.0,1280.0,1.0,38.0,114.0,80.0,8.0,16.0,235.0,100.0,169.0
Fujifilm FinePix 4900 Zoom,2000,2400.0,1600.0,2.0,35.0,210.0,50.0,10.0,16.0,450.0,110.0,169.0
Fujifilm FinePix A200,2002,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,16.0,180.0,99.0,169.0
Fujifilm FinePix A303,2002,2048.0,1600.0,3.0,38.0,114.0,60.0,10.0,16.0,180.0,97.0,169.0
Fujifilm FinePix A350 Zoom,2005,2592.0,2048.0,5.0,35.0,105.0,60.0,6.0,16.0,192.0,90.0,169.0
Fujifilm FinePix A800,2007,3296.0,2304.0,8.0,36.0,108.0,50.0,10.0,10.0,200.0,98.0,169.0
Fujifilm FinePix E510 Zoom,2004,2592.0,2048.0,5.0,28.0,91.0,60.0,2.0,16.0,226.0,101.0,169.0
Fujifilm FinePix F20 Zoom,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,190.0,94.0,169.0
Fujifilm FinePix F40 fd,2007,3296.0,2304.0,8.0,36.0,108.0,45.0,7.0,25.0,181.0,96.0,199.0
Fujifilm FinePix F455 Zoom,2004,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,93.0,199.0
Fujifilm FinePix F610,2003,4048.0,2848.0,6.0,35.0,105.0,60.0,9.0,16.0,205.0,72.0,169.0
Fujifilm FinePix IS-1,2007,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,169.0
Fujifilm FinePix S5000 Z,2003,2816.0,2048.0,3.0,37.0,370.0,90.0,10.0,16.0,430.0,113.0,229.0
Fujifilm FinePix S602Z,2002,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,399.0
Fujifilm FinePix S9100,2006,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,229.0
Fujifilm FinePix Z3,2006,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,10.0,170.0,89.0,179.0
Fujifilm MX-1700,1999,1280.0,640.0,1.0,38.0,114.0,80.0,20.0,8.0,270.0,79.0,169.0
Fujifilm MX-600 Zoom,1999,1280.0,640.0,1.0,38.0,115.0,90.0,25.0,4.0,0.0,122.0,179.0
Fujifilm FinePix S5 Pro,2006,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1699.0
HP Photosmart 715,2001,2048.0,640.0,3.0,34.0,102.0,60.0,20.0,16.0,320.0,127.0,179.0
HP Photosmart 935,2003,2608.0,1296.0,5.0,37.0,111.0,50.0,14.0,32.0,260.0,97.0,179.0
HP Photosmart C30,1998,1152.0,576.0,1.0,35.0,35.0,60.0,20.0,4.0,300.0,126.0,179.0
HP Photosmart E317,2005,2560.0,2048.0,5.0,35.0,35.0,60.0,10.0,16.0,231.0,95.0,179.0
HP Photosmart M307,2004,2080.0,1280.0,3.0,40.0,111.0,80.0,10.0,16.0,177.0,107.0,179.0
HP Photosmart M517,2005,2576.0,2048.0,5.0,36.0,108.0,80.0,12.0,16.0,190.0,97.0,179.0
HP Photosmart R507,2004,2320.0,1280.0,4.0,35.0,105.0,50.0,6.0,32.0,205.0,96.0,179.0
HP Photosmart R727,2006,2864.0,2592.0,6.0,39.0,118.0,50.0,5.0,32.0,190.0,91.0,179.0
HP Photosmart R927,2006,3296.0,2592.0,8.0,35.0,105.0,50.0,10.0,,,,179.0
Kodak C310,2005,2336.0,2313.0,4.0,35.0,35.0,85.0,85.0,16.0,154.0,103.0,129.0
Kodak C513,2007,2572.0,2048.0,5.0,36.0,108.0,60.0,13.0,16.0,188.0,91.0,126.0
Kodak C663,2006,2832.0,2304.0,6.0,34.0,102.0,60.0,5.0,32.0,190.0,85.0,126.0
Kodak CX4230,2002,1632.0,0.0,2.0,36.0,108.0,50.0,10.0,16.0,280.0,115.0,129.0
Kodak CX7220,2004,0.0,0.0,2.0,37.0,78.0,50.0,60.0,16.0,195.0,104.0,129.0
Kodak DC200,1998,1152.0,640.0,0.0,39.0,39.0,70.0,0.0,4.0,400.0,131.0,129.0
Kodak DC240,1999,1280.0,640.0,1.0,39.0,117.0,50.0,25.0,8.0,420.0,133.0,129.0
Kodak DC3200,2000,1152.0,576.0,0.0,39.0,39.0,60.0,0.0,2.0,240.0,113.0,129.0
Kodak DCS 14n,2002,4536.0,3024.0,13.0,0.0,0.0,0.0,0.0,0.0,1000.0,131.0,129.0
Kodak DCS520,1998,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1650.0,161.0,129.0
Kodak DCS720x,2001,1728.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1580.0,194.0,129.0
Kodak DX3500,2001,1800.0,900.0,2.0,38.0,38.0,75.0,22.0,8.0,225.0,120.0,129.0
Kodak DX4530,2003,2580.0,0.0,5.0,38.0,114.0,60.0,7.0,32.0,210.0,111.0,126.0
Kodak DX7440,2004,2304.0,2048.0,4.0,33.0,132.0,50.0,10.0,32.0,270.0,100.0,129.0
Kodak LS443,2002,2448.0,2160.0,4.0,35.0,105.0,70.0,13.0,16.0,260.0,109.0,129.0
Kodak M753,2007,3056.0,2592.0,7.0,37.0,111.0,40.0,7.0,16.0,165.0,93.0,126.0
Kodak P712,2006,3072.0,2592.0,7.0,36.0,432.0,50.0,10.0,32.0,440.0,108.0,126.0
Kodak V550,2005,2569.0,2576.0,5.0,36.0,108.0,60.0,7.0,32.0,160.0,94.0,126.0
Kodak Z1275,2007,4000.0,2832.0,12.0,35.0,175.0,60.0,10.0,64.0,211.0,90.0,129.0
Kodak Z712,2007,3072.0,2592.0,7.0,36.0,423.0,60.0,13.0,32.0,350.0,104.0,126.0
Kodak Z885,2007,3264.0,2592.0,8.0,36.0,180.0,60.0,7.0,32.0,211.0,90.0,146.0
Kyocera Finecam M400R,2004,2272.0,1600.0,4.0,37.0,370.0,60.0,10.0,0.0,340.0,107.0,169.0
Kyocera Finecam S3x,2002,2048.0,1024.0,3.0,35.0,105.0,55.0,12.0,16.0,175.0,32.0,1699.0
Kyocera Finecam SL400R,2004,2272.0,1600.0,3.0,35.0,115.0,60.0,20.0,16.0,155.0,100.0,229.0
Leica Digilux 3,2006,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,606.0,146.0,269.0
Leica M8,2006,3936.0,2952.0,10.0,0.0,0.0,0.0,0.0,0.0,591.0,139.0,146.0
Nikon Coolpix 2200,2004,1600.0,1024.0,1.0,36.0,108.0,30.0,4.0,14.0,190.0,88.0,229.0
Nikon Coolpix 3500,2002,2048.0,1600.0,3.0,37.0,111.0,30.0,4.0,8.0,250.0,114.0,229.0
Nikon Coolpix 4500,2002,2272.0,1280.0,3.0,38.0,155.0,30.0,2.0,16.0,374.0,130.0,229.0
Nikon Coolpix 5400,2003,2592.0,1600.0,5.0,28.0,116.0,50.0,1.0,16.0,400.0,108.0,229.0
Nikon Coolpix 700,1999,1600.0,640.0,1.0,35.0,35.0,30.0,9.0,8.0,340.0,114.0,229.0
Nikon Coolpix 8400,2004,3264.0,2592.0,8.0,24.0,85.0,50.0,3.0,0.0,470.0,113.0,229.0
Nikon Coolpix 900,1998,1280.0,640.0,1.0,38.0,115.0,50.0,20.0,4.0,420.0,157.0,229.0
Nikon Coolpix L1,2005,2816.0,2048.0,6.0,38.0,190.0,50.0,4.0,10.0,195.0,90.0,99.0
Nikon Coolpix L15,2007,3264.0,2592.0,8.0,35.0,105.0,50.0,15.0,32.0,225.0,91.0,159.0
Nikon Coolpix L6,2006,2816.0,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,175.0,91.0,99.0
Nikon Coolpix P50,2007,3264.0,3200.0,8.0,28.0,102.0,50.0,5.0,52.0,210.0,95.0,229.0
Nikon Coolpix S2,2005,2592.0,2048.0,5.0,35.0,105.0,30.0,4.0,12.0,160.0,92.0,199.0
Nikon Coolpix S50,2007,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,165.0,88.0,229.0
Nikon Coolpix S51c,2007,3264.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,175.0,98.0,329.0
Nikon D1,1999,2000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1200.0,157.0,1599.0
Nikon D2H,2003,2464.0,1840.0,4.0,0.0,0.0,0.0,0.0,0.0,1200.0,158.0,1599.0
Nikon D300,2007,4288.0,3216.0,12.0,0.0,0.0,0.0,0.0,0.0,925.0,147.0,1799.0
Nikon D70s,2005,3008.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,679.0,140.0,1599.0
Olympus D-150Z,2001,1280.0,640.0,1.0,38.0,114.0,50.0,20.0,8.0,190.0,110.0,1699.0
Olympus C-2040 Zoom,2000,1600.0,1024.0,1.0,40.0,120.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus C-300 Zoom,2002,1984.0,1600.0,3.0,36.0,100.0,80.0,20.0,16.0,300.0,118.0,1699.0
Olympus C-4040 Zoom,2001,2272.0,2048.0,3.0,35.0,105.0,80.0,20.0,16.0,420.0,110.0,129.0
Olympus C-50 Zoom,2002,2560.0,2048.0,4.0,38.0,114.0,50.0,20.0,32.0,230.0,100.0,449.0
Olympus C-7070 Wide Zoom,2005,3072.0,2592.0,7.0,27.0,110.0,80.0,3.0,32.0,480.0,116.0,129.0
Olympus C-765 UZ,2004,2288.0,2048.0,3.0,38.0,380.0,60.0,7.0,16.0,310.0,105.0,449.0
Olympus D-340L,1998,1280.0,640.0,1.0,36.0,36.0,70.0,10.0,4.0,320.0,128.0,1699.0
Olympus D-400 Zoom,1998,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-490 Zoom,2000,1600.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-545 Zoom,2005,2288.0,1600.0,3.0,38.0,114.0,50.0,2.0,14.0,190.0,106.0,449.0
Olympus D-620L,1998,1280.0,640.0,1.0,36.0,110.0,60.0,30.0,8.0,520.0,115.0,1699.0
Olympus E-20,2001,2560.0,1792.0,4.0,35.0,140.0,60.0,20.0,16.0,1190.0,129.0,1699.0
Olympus E-410,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,435.0,130.0,1699.0
Olympus FE-115,2006,2560.0,1600.0,5.0,38.0,106.0,50.0,2.0,28.0,160.0,88.0,129.0
Olympus FE-170,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,10.0,175.0,90.0,129.0
Olympus FE-230,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,20.0,145.0,91.0,129.0
Olympus FE-290,2007,3072.0,2048.0,7.0,28.0,112.0,40.0,5.0,6.0,142.0,98.0,129.0
Olympus SP-310,2005,3072.0,2592.0,7.0,38.0,114.0,20.0,5.0,32.0,230.0,100.0,449.0
Olympus SP-550 UZ,2007,3072.0,2560.0,7.0,28.0,504.0,10.0,1.0,20.0,460.0,116.0,449.0
Olympus Stylus 410 ,2004,2272.0,2048.0,3.0,35.0,105.0,50.0,20.0,16.0,200.0,99.0,229.0
Olympus Stylus 725 SW,2006,3072.0,2560.0,7.0,38.0,114.0,60.0,2.0,19.0,190.0,91.0,299.0
Olympus Stylus 770 SW,2007,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,18.0,195.0,92.0,299.0
Olympus Stylus 820,2007,3264.0,2560.0,8.0,36.0,180.0,70.0,3.0,47.0,125.0,96.0,249.0
Panasonic Lumix DMC-FX01,2006,2816.0,2048.0,6.0,28.0,102.0,50.0,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX12,2007,3072.0,2560.0,7.0,35.0,105.0,50.0,5.0,27.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FX5,2003,2304.0,1600.0,4.0,35.0,105.0,50.0,10.0,16.0,185.0,0.0,1499.0
Panasonic Lumix DMC-FX9,2005,2816.0,2048.0,6.0,35.0,105.0,50.0,5.0,16.0,155.0,94.0,1499.0
Panasonic Lumix DMC-FZ20,2004,2560.0,2048.0,5.0,36.0,432.0,30.0,5.0,16.0,556.0,87.0,149.0
Panasonic Lumix DMC-FZ50,2006,3648.0,3264.0,10.0,35.0,420.0,30.0,5.0,32.0,734.0,141.0,149.0
Panasonic Lumix DMC-LC1,2004,2560.0,2048.0,4.0,28.0,90.0,30.0,30.0,16.0,705.0,135.0,1499.0
Panasonic Lumix DMC-LC5,2001,2240.0,1600.0,3.0,33.0,100.0,30.0,6.0,32.0,435.0,128.0,1499.0
Panasonic Lumix DMC-LS2,2006,2560.0,2048.0,5.0,35.0,105.0,50.0,5.0,14.0,188.0,111.0,1499.0
Panasonic Lumix DMC-LZ1,2005,2304.0,1600.0,4.0,37.0,222.0,50.0,5.0,14.0,224.0,101.0,149.0
Panasonic Lumix DMC-LZ7,2007,3072.0,2560.0,7.0,37.0,222.0,50.0,5.0,27.0,234.0,99.0,149.0
Pentax EI-200,2000,1600.0,800.0,1.0,34.0,108.0,50.0,10.0,16.0,390.0,128.0,509.0
Pentax *ist DS,2004,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,799.0
Pentax K110D,2006,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,585.0,129.0,509.0
Pentax Optio 330RS,2002,2048.0,1024.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 430RS,2002,2240.0,1120.0,3.0,37.0,111.0,40.0,14.0,16.0,240.0,92.0,269.0
Pentax Optio 555,2003,2592.0,2048.0,5.0,37.0,187.0,60.0,2.0,16.0,250.0,100.0,149.0
Pentax Optio A30,2007,3648.0,3072.0,10.0,38.0,114.0,35.0,6.0,22.0,145.0,89.0,269.0
Pentax Optio M10,2006,2816.0,2560.0,6.0,35.0,105.0,70.0,10.0,22.0,170.0,89.0,249.0
Pentax Optio S,2003,2048.0,1024.0,3.0,35.0,105.0,40.0,6.0,16.0,115.0,83.0,149.0
Pentax Optio S45,2005,2304.0,1600.0,4.0,35.0,107.0,40.0,6.0,11.0,155.0,89.0,149.0
Pentax Optio S5n,2005,2560.0,2304.0,4.0,35.0,107.0,40.0,6.0,9.0,120.0,84.0,149.0
Pentax Optio SV,2004,2560.0,2048.0,5.0,36.0,180.0,60.0,3.0,32.0,165.0,91.0,149.0
Pentax Optio W10,2006,2816.0,2560.0,6.0,38.0,114.0,40.0,1.0,10.0,160.0,107.0,269.0
Pentax Optio X,2004,2560.0,2048.0,5.0,36.0,107.0,40.0,6.0,14.0,145.0,112.0,149.0
Ricoh Caplio R3,2005,2560.0,2048.0,4.0,28.0,200.0,30.0,1.0,26.0,165.0,95.0,99.0
Ricoh Caplio R6,2007,3072.0,2592.0,7.0,28.0,200.0,30.0,1.0,54.0,165.0,100.0,99.0
Ricoh GR Digital,2005,3264.0,2592.0,8.0,28.0,28.0,30.0,2.0,26.0,200.0,107.0,4999.0
Ricoh RDC-5000,1999,1792.0,896.0,2.0,38.0,86.0,40.0,4.0,8.0,340.0,131.0,149.0
Ricoh RDC-i700,2000,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,450.0,157.0,149.0
Samsung Digimax A55W,2005,2592.0,2272.0,5.0,28.0,135.0,60.0,1.0,32.0,185.0,106.0,229.0
Samsung Digimax 301,2004,2048.0,1600.0,3.0,35.0,33.0,10.0,19.0,16.0,137.0,98.0,299.0
Samsung Digimax 430,2004,2272.0,2048.0,3.0,35.0,114.0,80.0,5.0,32.0,210.0,107.0,229.0
Samsung GX-1S,2006,3008.0,2400.0,6.0,0.0,0.0,0.0,0.0,0.0,605.0,125.0,299.0
Samsung i85,2007,3264.0,2592.0,8.0,36.0,108.0,80.0,5.0,173.0,0.0,95.0,149.0
Samsung L74 Wide,2007,3072.0,2592.0,7.0,28.0,101.0,80.0,5.0,450.0,210.0,105.0,119.0
Samsung NV15,2007,3648.0,2592.0,10.0,34.0,102.0,80.0,4.0,20.0,0.0,97.0,229.0
Samsung Pro815,2005,3264.0,2400.0,8.0,28.0,420.0,10.0,3.0,0.0,910.0,136.0,299.0
Samsung S830,2007,3264.0,3072.0,8.0,35.0,105.0,80.0,4.0,45.0,220.0,100.0,99.0
Samsung Digimax U-CA 401,2004,2272.0,1136.0,3.0,35.0,35.0,60.0,6.0,0.0,165.0,97.0,229.0
Samsung Digimax V700,2005,3072.0,2816.0,7.0,38.0,114.0,80.0,4.0,128.0,220.0,106.0,229.0
Sanyo Xacti DSC-S3,2004,2048.0,1600.0,3.0,37.0,112.0,50.0,2.0,16.0,185.0,91.0,1399.0
Sigma DP1,2006,2640.0,1776.0,4.0,28.0,28.0,0.0,0.0,0.0,270.0,109.0,1599.0
Sony Mavica CD1000,2000,1600.0,1600.0,1.0,37.0,370.0,80.0,3.0,8.0,980.0,125.0,1399.0
Sony Mavica CD400,2002,2272.0,1600.0,3.0,34.0,102.0,50.0,4.0,6.0,640.0,138.0,1399.0
Sony DSC-F505V,2000,1856.0,1600.0,2.0,38.0,190.0,50.0,2.0,8.0,482.0,107.0,149.0
Sony DSC-F828,2003,3264.0,2592.0,8.0,28.0,200.0,50.0,2.0,0.0,906.0,134.0,429.0
Sony DSC-H3,2007,3264.0,3264.0,8.0,38.0,380.0,50.0,2.0,31.0,264.0,106.0,429.0
Sony DSC-M1,2004,2592.0,2048.0,5.0,38.0,114.0,50.0,8.0,32.0,215.0,51.0,429.0
Sony DSC-P10,2003,2592.0,2048.0,5.0,38.0,114.0,50.0,10.0,32.0,206.0,105.0,149.0
Sony DSC-P200,2005,3072.0,2592.0,7.0,38.0,114.0,50.0,6.0,32.0,180.0,104.0,399.0
Sony DSC-P41,2004,2272.0,1600.0,3.0,33.0,33.0,10.0,10.0,16.0,180.0,106.0,429.0
Sony DSC-P7,2002,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,214.0,114.0,149.0
Sony DSC-P9,2002,2272.0,1600.0,3.0,39.0,117.0,50.0,10.0,16.0,206.0,113.0,429.0
Sony DSC-S40,2005,2304.0,2048.0,4.0,32.0,96.0,0.0,0.0,32.0,184.0,99.0,149.0
Sony DSC-S70,2000,2048.0,1600.0,3.0,34.0,102.0,25.0,4.0,8.0,420.0,117.0,149.0
Sony DSC-S90,2005,2304.0,2048.0,4.0,39.0,117.0,50.0,10.0,32.0,253.0,97.0,149.0
Sony DSC-T20,2007,3264.0,2592.0,8.0,38.0,114.0,50.0,1.0,31.0,197.0,90.0,399.0
Sony DSC-T5,2005,2592.0,2048.0,5.0,38.0,114.0,50.0,8.0,32.0,139.0,94.0,399.0
Sony DSC-U20,2002,1632.0,640.0,2.0,33.0,33.0,10.0,10.0,8.0,118.0,85.0,399.0
Sony DSC-V1,2003,2592.0,2048.0,5.0,34.0,136.0,40.0,10.0,32.0,298.0,99.0,429.0
Sony DSC-W30,2006,2816.0,2048.0,6.0,38.0,114.0,50.0,2.0,32.0,153.0,90.0,149.0
Sony DSC-W7,2005,3072.0,2592.0,7.0,38.0,114.0,50.0,6.0,32.0,250.0,91.0,149.0
Sony DSLR-A700,2007,4272.0,3104.0,12.0,0.0,0.0,0.0,0.0,0.0,768.0,142.0,599.0
Sony Mavica FD-75,2001,640.0,320.0,0.0,40.0,400.0,1.0,1.0,1.0,580.0,138.0,1399.0
Sony Mavica FD-88,1999,1280.0,1024.0,1.0,34.0,270.0,4.0,4.0,1.0,600.0,142.0,1399.0
Toshiba PDR-3310,2002,2048.0,1024.0,3.0,35.0,105.0,55.0,12.0,8.0,205.0,91.0,177.0
Toshiba PDR-M11,2001,1280.0,640.0,1.0,52.0,52.0,90.0,0.0,8.0,240.0,116.0,62.0
Toshiba PDR-M5,1999,1600.0,800.0,1.0,40.0,120.0,90.0,25.0,8.0,350.0,130.0,62.0
Toshiba PDR-M71,2001,2048.0,1024.0,3.0,35.0,98.0,80.0,10.0,8.0,340.0,107.0,62.0
